story_id,title,normalized_text,parsed_json,is_relevant,expected_mentions,extracted_mentions,evidence_valid,family_version_mapping_valid,stance_valid,error_type,reviewer_notes
46823036,"Chat Memo – Auto-Save AI Chats from ChatGPT, Gemini, Claude +",,"{""relevant"": true, ""observations"": [{""surface"": ""ChatGPT"", ""evidence"": {""field"": ""title"", ""quote"": ""Auto-Save AI Chats from ChatGPT, Gemini, Claude""}, ""attributes"": {""kind"": ""product"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}, {""surface"": ""Gemini"", ""evidence"": {""field"": ""title"", ""quote"": ""ChatGPT, Gemini, Claude""}, ""attributes"": {""kind"": ""product"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}, {""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""Gemini, Claude +""}, ""attributes"": {""kind"": ""model"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""release_announcement""}}",,,,,,,,
47085076,Ask HN: What Is the Point of WebMCP?,"So I have a question that should be simple, but apparently is not. I have Chrome Canary with WebMCP enabled. I have the Model Context Tool extension installed. I have a WebMCP-enabled test app running in it. The only thing the extension offers is connecting to the Gemini API via an API token and using that as the driver for the WebMCP app. I don't understand this use case. If I wanted my app to consume API tokens I would have directly coded interoperation with the major providers with one of the thousands libraries that di exactly that. What I do have are subscriptions to OpenAI, Gemini, Claude, and GitHub Copilot. All the clients I use can connect to MCP servers. I thought: I have WebMCP enabled in Canary, so my browser will actually be an MCP server that gives access to the underlying WebMCP apps it is running. It turns out that no, of course that would be logical, but you can't do that. Chrome exposes an MCP server, but it is only for controlling Chrome itself, like Playwright. It does not provide any bridging to WebMCP. I then thought there would be an extension that does this, but the Chrome extension ecosystem is full of bullshit extensions from fraudsters who vibe-coded their way into trying to capitalize on the AI craze. There are no extensions for that. All of them want you to subscribe, or give them API tokens. Many of them have non-working websites. One option I see mentioned online is running Chrome in debug mode and exposing a remote debugging port. This is exactly what WebMCP was supposedly invented to avoid, so running your browser in a special way to expose it to complete control cannot be the right way to do this. I'm perfectly able to already do that without WebMCP. Am I understanding it wrong? I understand the proposal is in its infancy, but I expect the goal of it to be at least clear. I don't understand where it helps developers or users in any single way that wasn't already available before.","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
47543189,Claude loses its >99% uptime in Q1 2026,,"{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""Claude loses its >99% uptime""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""incident_report""}}",,,,,,,,
47297392,Cursor went from $0 to $29B to existential threat in three years,,"{""relevant"": true, ""observations"": [{""surface"": ""Cursor"", ""evidence"": {""field"": ""title"", ""quote"": ""Cursor went from $0 to $29B""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""industry_news""}}",,,,,,,,
47545960,Show HN: Control Codex via WhatsApp using a Codex plugin,"Codex plugins were released just yesterday, and I wanted to try something I’ve always wished for: controlling Codex from my phone. I put together a small relay that connects WhatsApp to Codex, so I can: - start a session from my phone - send follow-ups while I’m away from my computer - then pick everything back up later on desktop Under the hood it uses the new plugin system (skills + connectors) that was just added to Codex Curious if others are experimenting with similar setups or different interfaces. Code (very rough, but works): https://github.com/abuiles/codex-whatsapp-relay","{""relevant"": true, ""observations"": [{""surface"": ""Codex"", ""evidence"": {""field"": ""title"", ""quote"": ""Control Codex via WhatsApp""}, ""attributes"": {""kind"": ""product"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""release_announcement""}}",,,,,,,,
48867766,"Show HN: I made Claude explain like I'm 5, and AI fatigue disappeared","I was burning out reading AI output. So I created the ELI5 Rule, ELI5 Rule is ""explain-like-iam-five"" It's simple. Try it. https://github.com/amebahead/explain-like-iam-five-rules","{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""Claude""}, ""attributes"": {""kind"": ""model"", ""role"": ""instrument"", ""stance"": ""positive""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""release_announcement""}}",,,,,,,,
48111970,Can Claude Skills Replace Open Source Software?,,"{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""Can Claude Skills Replace""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""opinion""}}",,,,,,,,
48479452,"Claude Desktop spawns 1.8 GB Hyper-V VM on every launch, even for chat-only use",,"{""relevant"": true, ""observations"": [{""surface"": ""Claude Desktop"", ""evidence"": {""field"": ""title"", ""quote"": ""Claude Desktop""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""incident_report""}}",,,,,,,,
47557794,Who Wins If AI Models Commoditize? – With Mistral CEO Arthur Mensch [video],,"{""relevant"": true, ""observations"": [{""surface"": ""Mistral"", ""evidence"": {""field"": ""title"", ""quote"": ""Mistral CEO Arthur Mensch""}, ""attributes"": {""kind"": ""organization"", ""role"": ""subject""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""opinion""}}",,,,,,,,
48613373,"Never coded before, now shipping websites to clients via single prompt","Claude Plans, then executes, then uses Cloudflare to push secrets, files - into a production link. All from 1-2 prompts. This is someone who never coded. I don’t think the market has truly priced in the effect this has on SWE.","{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""text"", ""quote"": ""Claude Plans, then executes""}, ""attributes"": {""kind"": ""model"", ""role"": ""instrument"", ""stance"": ""positive""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""success_story""}}",,,,,,,,
47771230,Ask HN: GUI or TUI for Coding Harness?,"There's alot of debate right now between GUI vs TUI (ex: Claude Desktop vs. Claude Code). I know some (Zed), have tried to bridge the gap with ACP, but for me that's always fallen a bit short. What's your view?","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
47180672,Hackers used Claude to plan and execute attack on Mexico's government,,"{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""Hackers used Claude to plan and execute attack""}, ""attributes"": {""kind"": ""model"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""incident_report""}}",,,,,,,,
47268590,"Show HN: LM Canvas – current chat interfaces suck, so I built a canvas for LLMs","hi guys! i’m 19, been coding since I was 8, and during high school worked as a SWE at Interaction/Poke (100M) and Founding Engineer at build.ai (100M). i’m building out lmcanvas.ai during my gap year after the demo hit 2.1M views, 15K likes on X. i hated current chat interfaces for a long time: 1. Context switching hell — the moment you want to explore a different angle you either muddy the current thread or start over and lose everything you built up. 2. Memory degradation — LLMs get worse as conversations grow. Some queries need no memory, some need temporary context, some need everything. Branching solves this cleanly. 3. Parallel execution — why wait for one response when you can run multiple simultaneously? Every chat app makes you wait. That's absurd. 4. Model lock-in — OpenAI won't show you Claude's answer. Anthropic won't show you GPT's. LM Canvas connects to 300+ models and has no reason to hide any of them from you. so i built a spatial canvas for working with LLMs — branch conversations, run prompts in parallel, compare models side by side. you can also import your ChatGPT conversations and they convert into branchable nodes on the canvas. please give me the most spicy / raw feedback you have to offer. i’ll be in the comments for all day / night :)","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
48553760,Show HN: Codify – Terraform for Dev Environments,"Configuration as code for developer machines. The operation is similar to Terraform: plan + apply for making changes, and import + refresh for syncing system state back into the config. Codify operates statelessly, so no need to manage a state file. Just define what you need and apply it. There is a web + desktop app, and AI agent to make Codify easier to use (paid with free tier). The apps come with a dedicated editor (auto-completion, blocks view, and collaboration). The agent works via Codify configs which avoids the problem of LLMs generating and applying raw shell commands directly. We’re building Codify for three groups of people: 1. Beginners and students - It lowers the barrier of entry and introduces them to new languages, cool tools and agents, especially now with the advent of vibe-coding. 2. Software teams - It onboards new engineers quickly and ensures that everybody is on the same setup. It also helps more people to work cross-functionally (ex: backend and mobile) 3. Freelancers - Helps them manage multiple tech-stacks for different projects at once. I personally found that it’s useful for setting up automation (openclaw for example) + managing two work computers at once. Codify has an ecosystem of 50+ supported applications, settings and tools right now. New resources can be requested by creating an issue on GitHub, triggering our Claude action to pick it up. We review and test the code manually before merging (aiming for a turnaround time of 10 days). We run automated testing three times a week to catch drift. In light of the recent npm supply chain attacks, we won’t be hosting a registry for 3rd party plugins. Private custom plugins are possible. The CLI and resource library are open source. Everything is available on MacOS, Linux and Windows (wsl) Hope you get a chance to try out. Cheers - Kevin & Edmund","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
47234849,Gemini 3.1 Flash Lite Preview,,"{""relevant"": true, ""observations"": [{""surface"": ""Gemini 3.1 Flash Lite Preview"", ""evidence"": {""field"": ""title"", ""quote"": ""Gemini 3.1 Flash Lite Preview""}, ""attributes"": {""kind"": ""model"", ""role"": ""subject"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""release_announcement""}}",,,,,,,,
47584850,Claude Code full source code leaked on NPM,,"{""relevant"": true, ""observations"": [{""surface"": ""Claude Code"", ""evidence"": {""field"": ""title"", ""quote"": ""Claude Code full source code leaked""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""incident_report""}}",,,,,,,,
